Annova	Phenotype
UQCRC2	"线粒体复合物Ⅲ缺陷症N5型(615160,AR)"
UQCRQ	"线粒体复合物Ⅲ缺陷症N4型(615159,AR)"
UROC1	"尿苷酸酶缺乏综合征(276880,AR)"
USP27X	"X 连锁精神发育迟滞105型(300984,XLR)"
USP9X	"X 连锁精神发育迟滞99型(300919,XLR)"
VAMP1	"遗传性痉挛性共济失调1型(108600,AD)"
VANGL1	"骶前脑脊髓膜突出缺陷(600145,AD)"
VAPB	"肌萎缩侧索硬化症8型(608627,AD);脊髓肌萎缩症FK型(182980,AD)"
VARS2	"氧化磷酸化结合障碍性疾病20型(615917,AR)"
VAX1	"小眼畸形综合征11型(614402,AR)"
VCL	"扩张型心肌病1W型(611407,AD);肥厚型心肌病15型(613255,AD)"
VCP	"肌萎缩侧索硬化症14型(613954,AD);腓骨肌萎缩症2Y型(616687,AD);包涵体肌病伴有早发畸形性骨炎伴或不伴额颞叶痴呆1型(167320,AD)"
VDR	"羟基化维生素D缺乏性佝偻病2A型(277440,AR)"
VHL	"家族性红细胞增多症2型(263400,AR);VHL综合征(193300,AD)"
VIPAS39	"关节挛缩-肾功能障碍-胆汁淤积综合征2型(613404,AR)"
VLDLR	"小脑性共济失调，精神发育迟滞，平衡失调综合征1型(224050,AR)"
VMA21	"X连锁过度自噬肌病(310440,XLR)"
VPS11	"髓鞘形成不足性脑白质营养不良12型(616683,AR)"
VPS13A	"舞蹈病-棘状红细胞增多症(200150,AR)"
VPS13B	"COHEN综合征(216550,AR)"
VPS13C	"遗传性帕金森病23型(616840,AR)"
VPS33B	"关节挛缩-肾功能障碍-胆汁淤积综合征1型(208085,AR)"
VPS35	"遗传性帕金森病17型(614203,AD)"
VPS37A	"痉挛性截瘫53型(614898,AR)"
VPS45	"严重先天性中性粒细胞减少症5型(615285,AR)"
VPS53	"脑桥，小脑发育不良2E型(615851,AR)"
VRK1	"脑桥，小脑发育不良1A型(607596,AR)"
VWA3B	"常染色体隐性遗传性脊髓小脑性共济失调22型(616948,AR)"
WAC	"Desanto-Shinawi 综合征(616708,AD)"
WAS	"Wiskott-Aldrich综合征(301000,XLR)"
KIAA1033	"常染色体隐性精神发育迟滞43型(615817,AR)"
WDFY3	"小头畸形18型(617520,AD)"
WDR11	"低促性腺激素性性腺功能减退症14型(614858,AD)"
WDR19	"颅骨外胚层发育不良4型(614378,AR)"
WDR35	"颅骨外胚层发育不良2型(613610,AR)"
WDR45	"脑组织铁沉积性神经变性病5型(300894,XLD)"
WDR62	"小头畸形2型(604317,AR)"
WDR73	"常染色体隐性遗传性脊髓小脑性共济失调5型(251300,AR)"
WDR81	"小脑性共济失调，精神发育迟滞，平衡失调综合征2型(610185,AR)"
WFS1	"Wolfram 综合征1型(222300,AR);类Wolfram综合征(614296,AD)"
WNK1	"遗传性感觉和自主神经性神经病2型(201300,AR)"
WNT3	"Tetra-amelia隐性遗传综合征(273395,AR)"
WNT5A	"常染色体显性遗传Robinow综合征(180700,AD)"
WNT7A	"尺骨腓骨缺如-重度四肢缺陷综合征(276820,AR)"
WRAP53	"常染色体隐性遗传性先天性角化不良3型(613988,AR)"
KIAA0196	"Ritscher-Schinzel综合征(220210,AR);痉挛性截瘫8型(603563,AD)"
WWOX	"早期幼儿癫痫性脑病28型(616211,AR);常染色体隐性遗传性脊髓小脑性共济失调12型(614322,AR)"
XK	"McLeod综合征(300842,XL)"
XPA	"着色性干皮病A型(278700,AR)"
XPC	"着色性干皮病C型(278720,AR)"
XPNPEP3	"肾消耗病1型(613159,AR)"
XPR1	"特发性基底核钙化6型(616413,AD)"
XRCC1	"常染色体隐性遗传性脊髓小脑性共济失调26型(617633,AR)"
XYLT1	"弹性纤维性假黄瘤(264800,AR)"
XYLT2	"弹性纤维性假黄瘤(264800,AR)"
YAP1	"眼组织缺损伴或不伴听力障碍，唇腭裂和（或）精神发育迟滞(120433,AD)"
YARS	"腓骨肌萎缩症显性中间C型(608323,AD)"
YARS2	"伴乳酸酸中毒及铁粒幼红细胞贫血的肌病2型(613561,AR)"
ZBTB16	"骨骼缺陷伴生殖器发育不良和精神发育迟滞(612447,AR)"
ZBTB18	"常染色体显性精神发育迟滞22型(612337,AD)"
ZBTB20	"Primrose综合征(259050,AD)"
ZBTB24	"免疫缺陷-着丝粒不稳定-面部畸形综合征2型(614069,AR)"
ZBTB42	"致死性先天挛缩综合征6型(616248,AR)"
ZC3H14	"常染色体隐性精神发育迟滞56型(617125,AR)"
ZC4H2	"Wieacker-Wolff综合征(314580,XLR)"
ZEB2	"莫厄特-威尔逊综合征(235730,AD)"
ZFYVE26	"痉挛性截瘫15型(270700,AR)"
ZFYVE27	"痉挛性截瘫33型(610244,AD)"
ZIC1	"狭颅症6型(616602,AD)"
ZIC2	"全前脑5型(609637,AD)"
ZIC3	"X连锁VACTERL综合征伴或不伴脑积水(314390,XLR)"
ZMYND11	"常染色体显性精神发育迟滞30型(616083,AD)"
ZNF335	"小头畸形10型(615095,AR)"
ZNF423	"肾消耗病14型(614844,AD,AR)"
ZNF711	"X 连锁智力发育迟滞97型(300803,XL)"
CNBP	"强直性肌营养不良2型(602668,AD)"
ZNHIT3	"PEHO综合征(260565,AR)"
